Paper ID,Title,Authors,Journal,Publication Date
40054034,"Pluripotent stem cell-derived mesenchymal stem cells for therapeutic applications, developmental study, and cancer research.","Fu S, Yeung CK, Xu RH",Curr Opin Genet Dev,2025 Mar 6
40054028,Association between body composition parameters and treatment-related toxicities in patients with metastatic breast cancer receiving cyclin-dependent kinase 4 and 6 inhibitors.,"Imbimbo G, Pellegrini M, Scagnoli S, Pisegna S, Rizzo V, Gallicchio C, Botticelli A, Molfino A",Clin Nutr,2025 Mar 1
40054027,Core elements and principles of nutrition models of care for people with cancer: A scoping review.,"Loeliger J, Ugalde A, Porter J, Kiss N",Clin Nutr,2025 Feb 28
40054017,"Connecting the dots: Mitochondrial transfer in immunity, inflammation, and cancer.","Artusa V, De Luca L, Clerici M, Trabattoni D",Immunol Lett,2025 Mar 6
40054009,The Effect of X-ray Dose Photon-Counting Detector Computed Tomography on Nodule Properties in a Lung Cancer Screening Cohort: A Prospective Study.,"Kerber B, Ensle F, Kroschke J, Strappa C, Stolzmann-Hinzpeter R, Blüthgen C, Marty M, Larici AR, Frauenfelder T, Jungblut L",Invest Radiol,2025 Mar 10
40053906,Comparison of Short-Term Outcomes Between Robotic-Assisted and Open Pancreatoduodenectomy: A Retrospective Cohort Study With Inverse Probability of Treatment Weighting (IPTW) Analysis.,"Huang XT, Xie JZ, Cai JP, Xu QC, Chen W, Huang CS, Li B, Lai JM, Liang LJ, Yin XY",Int J Med Robot,2025 Apr
40053904,System and Technology of Breast Intervention Robot: A Review.,"Du H, Wang Z, Zhang Y, Huang X, Wang X",Int J Med Robot,2025 Apr
40053903,Perioperative Supportive Care Interventions in Older Adults With Cancer: Opportunities and Challenges.,"Wang Y, Fleming F, Loh KP",JCO Oncol Pract,2025 Mar 7
40053902,Prospective Evaluation of the Pathologic Diagnosis and Treatment Outcomes of Pediatric Burkitt Lymphoma in the Central American Pediatric Hematology-Oncology Association Consortium.,"Kumar P, Metzger ML, Choi JK, Job G, Santiago TC, Peña A, Caniza MA, Agulnik A, Gassant PY, Gómez García WC, Calderón PJ, Garrido C, Rosado R, Fuentes Alabí S, Conter V, Devidas M, Carrillo AK, Chen Y, Friedrich P, Rodriguez Galindo C, Chantada GL, Santana VM",JCO Glob Oncol,2025 Mar
40053901,Germline Genetic Testing in Breast Cancer: Utilization and Disparities in a Middle-Income Country.,"Souza ABA, Barrios C, de Jesus RG, Reinert T, Giacomazzi J, Rosa DD, Cronemberger E, Werutsky G, Bines J, Queiroz GS, Cordeiro de Lima V, Freitas-Junior R, Couto Filho JD, Emerenciano K, Resende H, Crocamo S, Van Eyll B, Neron Y, Dybal V, Lazaretti NS, Costamilan RC, Andrade DAP, Mathias C, Vacaro GZ, Borges G, Morelle AM, Sampaio Filho CA, Mano M, Lichtenfels M, Simon SD, Fay AP",JCO Glob Oncol,2025 Mar
